Attack,eps,SNR,STOI,ASR,Acc_clean,Acc_adv,ΔAcc
Low‑ε Rand,0.0,inf,0.9999999999999997,0.0,0.0,0.0,0.0
Low‑ε Rand,0.0003,43.398103260993956,0.999038234289074,18.5,0.0,0.0,0.0
Low‑ε Rand,0.0005,38.961132884025574,0.9976397734633301,23.5,0.0,0.0,0.0
Low‑ε Rand,0.001,32.94053075313568,0.9928676840582054,39.0,0.0,0.0,0.0
Low‑ε Rand,0.002,26.919929081201552,0.9802325308291188,49.0,0.0,0.0,0.0
Low‑ε Rand,0.005,18.961131796240807,0.9396276787929927,61.5,0.0,0.0,0.0
Low‑ε Rand,0.01,12.94053164627403,0.880145981181575,74.5,0.0,0.0,0.0
High‑freq,0.0,inf,0.9999999999999997,0.0,0.0,0.0,0.0
High‑freq,0.0005,38.961132287979126,0.9980093665085792,27.0,0.0,0.0,0.0
High‑freq,0.001,32.94052940607071,0.9940187169968812,35.5,0.0,0.0,0.0
High‑freq,0.003,23.398104232549667,0.9720340064569719,54.5,0.0,0.0,0.0
High‑freq,0.005,18.961131593585016,0.9494554851520516,63.5,0.0,0.0,0.0
High‑freq,0.01,12.940531896613539,0.9007783509574244,77.0,0.0,0.0,0.0
High‑freq,0.02,6.919931945204735,0.827441517623461,85.0,0.0,0.0,0.0
FGSM,0.0,inf,0.9999999999999997,0.0,0.0,0.0,0.0
FGSM,0.0003,43.39810333251953,0.996800035492698,100.0,0.0,0.0,0.0
FGSM,0.0005,38.96113224029541,0.9934004632348657,100.0,0.0,0.0,0.0
FGSM,0.001,32.94052940607071,0.9837619065518305,100.0,0.0,0.0,0.0
FGSM,0.002,26.919929045438767,0.9636281488704763,100.0,0.0,0.0,0.0
FGSM,0.003,23.39810422062874,0.9446113271202471,100.0,0.0,0.0,0.0
